case_name,algorithm,matched_csv,exact_edge_sequence_ratio,edge_set_overlap_ratio,mean_matched_point_distance_m,is_exact_same_sequence,ref_n,pred_n
step_5,HMM,experiments/kinematic/results/step_5/HMM/matched_points.csv,1.0,1.0,0.0,False,76,16
step_5,trendHMM,experiments/kinematic/results/step_5/trendHMM/matched_points.csv,1.0,1.0,0.0,False,76,16
noise_20m,HMM,experiments/kinematic/results/noise_20m/HMM/matched_points.csv,1.0,1.0,0.0,True,76,76
noise_20m,trendHMM,experiments/kinematic/results/noise_20m/trendHMM/matched_points.csv,1.0,1.0,0.0,True,76,76
step_3,HMM,experiments/kinematic/results/step_3/HMM/matched_points.csv,1.0,1.0,0.0,False,76,26
step_3,trendHMM,experiments/kinematic/results/step_3/trendHMM/matched_points.csv,1.0,1.0,0.0,False,76,26
noise_5m,HMM,experiments/kinematic/results/noise_5m/HMM/matched_points.csv,1.0,1.0,0.0,True,76,76
noise_5m,trendHMM,experiments/kinematic/results/noise_5m/trendHMM/matched_points.csv,1.0,1.0,0.0,True,76,76
noise_10m,HMM,experiments/kinematic/results/noise_10m/HMM/matched_points.csv,1.0,1.0,0.0,True,76,76
noise_10m,trendHMM,experiments/kinematic/results/noise_10m/trendHMM/matched_points.csv,1.0,1.0,0.0,True,76,76
noise_0m,HMM,experiments/kinematic/results/noise_0m/HMM/matched_points.csv,1.0,1.0,0.0,True,76,76
noise_0m,trendHMM,experiments/kinematic/results/noise_0m/trendHMM/matched_points.csv,1.0,1.0,0.0,True,76,76
step_1,HMM,experiments/kinematic/results/step_1/HMM/matched_points.csv,1.0,1.0,0.0,True,76,76
step_1,trendHMM,experiments/kinematic/results/step_1/trendHMM/matched_points.csv,1.0,1.0,0.0,True,76,76
raw,HMM,experiments/kinematic/results/raw/HMM/matched_points.csv,1.0,1.0,0.0,True,76,76
raw,trendHMM,experiments/kinematic/results/raw/trendHMM/matched_points.csv,1.0,1.0,0.0,True,76,76
step_2,HMM,experiments/kinematic/results/step_2/HMM/matched_points.csv,1.0,1.0,0.0,False,76,38
step_2,trendHMM,experiments/kinematic/results/step_2/trendHMM/matched_points.csv,1.0,1.0,0.0,False,76,38
