case_name,algorithm,gps_csv,matched_csv,html_map,pred_edge_count,pred_path_length_m,edge_overlap_ratio,relative_length_error
raw,HMM,data/processed/gps_kinematic_match.csv,experiments/kinematic/results/raw/HMM/matched_points.csv,experiments/kinematic/results/raw/HMM/map_matching_result.html,76,0.0,1.0,0.0
raw,trendHMM,data/processed/gps_kinematic_match.csv,experiments/kinematic/results/raw/trendHMM/matched_points.csv,experiments/kinematic/results/raw/trendHMM/map_matching_result.html,76,0.0,1.0,0.0
noise_0m,HMM,experiments/kinematic/data/gps_noise_0m.csv,experiments/kinematic/results/noise_0m/HMM/matched_points.csv,experiments/kinematic/results/noise_0m/HMM/map_matching_result.html,76,0.0,1.0,0.0
noise_0m,trendHMM,experiments/kinematic/data/gps_noise_0m.csv,experiments/kinematic/results/noise_0m/trendHMM/matched_points.csv,experiments/kinematic/results/noise_0m/trendHMM/map_matching_result.html,76,0.0,1.0,0.0
noise_5m,HMM,experiments/kinematic/data/gps_noise_5m.csv,experiments/kinematic/results/noise_5m/HMM/matched_points.csv,experiments/kinematic/results/noise_5m/HMM/map_matching_result.html,76,0.0,1.0,0.0
noise_5m,trendHMM,experiments/kinematic/data/gps_noise_5m.csv,experiments/kinematic/results/noise_5m/trendHMM/matched_points.csv,experiments/kinematic/results/noise_5m/trendHMM/map_matching_result.html,76,0.0,1.0,0.0
noise_10m,HMM,experiments/kinematic/data/gps_noise_10m.csv,experiments/kinematic/results/noise_10m/HMM/matched_points.csv,experiments/kinematic/results/noise_10m/HMM/map_matching_result.html,76,0.0,1.0,0.0
noise_10m,trendHMM,experiments/kinematic/data/gps_noise_10m.csv,experiments/kinematic/results/noise_10m/trendHMM/matched_points.csv,experiments/kinematic/results/noise_10m/trendHMM/map_matching_result.html,76,0.0,1.0,0.0
noise_20m,HMM,experiments/kinematic/data/gps_noise_20m.csv,experiments/kinematic/results/noise_20m/HMM/matched_points.csv,experiments/kinematic/results/noise_20m/HMM/map_matching_result.html,76,0.0,1.0,0.0
noise_20m,trendHMM,experiments/kinematic/data/gps_noise_20m.csv,experiments/kinematic/results/noise_20m/trendHMM/matched_points.csv,experiments/kinematic/results/noise_20m/trendHMM/map_matching_result.html,76,0.0,1.0,0.0
step_1,HMM,experiments/kinematic/data/gps_step_1.csv,experiments/kinematic/results/step_1/HMM/matched_points.csv,experiments/kinematic/results/step_1/HMM/map_matching_result.html,76,0.0,1.0,0.0
step_1,trendHMM,experiments/kinematic/data/gps_step_1.csv,experiments/kinematic/results/step_1/trendHMM/matched_points.csv,experiments/kinematic/results/step_1/trendHMM/map_matching_result.html,76,0.0,1.0,0.0
step_2,HMM,experiments/kinematic/data/gps_step_2.csv,experiments/kinematic/results/step_2/HMM/matched_points.csv,experiments/kinematic/results/step_2/HMM/map_matching_result.html,38,0.0,1.0,0.0
step_2,trendHMM,experiments/kinematic/data/gps_step_2.csv,experiments/kinematic/results/step_2/trendHMM/matched_points.csv,experiments/kinematic/results/step_2/trendHMM/map_matching_result.html,38,0.0,1.0,0.0
step_3,HMM,experiments/kinematic/data/gps_step_3.csv,experiments/kinematic/results/step_3/HMM/matched_points.csv,experiments/kinematic/results/step_3/HMM/map_matching_result.html,26,0.0,1.0,0.0
step_3,trendHMM,experiments/kinematic/data/gps_step_3.csv,experiments/kinematic/results/step_3/trendHMM/matched_points.csv,experiments/kinematic/results/step_3/trendHMM/map_matching_result.html,26,0.0,1.0,0.0
step_5,HMM,experiments/kinematic/data/gps_step_5.csv,experiments/kinematic/results/step_5/HMM/matched_points.csv,experiments/kinematic/results/step_5/HMM/map_matching_result.html,16,0.0,1.0,0.0
step_5,trendHMM,experiments/kinematic/data/gps_step_5.csv,experiments/kinematic/results/step_5/trendHMM/matched_points.csv,experiments/kinematic/results/step_5/trendHMM/map_matching_result.html,16,0.0,1.0,0.0
